title,duration,mpaa_rating,genre,release_date,user_rating,rating_count,budget,gross
Minions,91.0,PG,Animation,2015-06-17,,,74000000.0,1156730962.0
Hotel Transylvania 2,89.0,PG,Animation,2015-09-21,,,80000000.0,473226958.0
Cinderella,105.0,PG,Drama,2015-03-12,,,95000000.0,543514353.0
The Martian,141.0,PG-13,Science Fiction,2015-09-30,,,108000000.0,630161890.0
San Andreas,114.0,PG-13,Thriller,2015-05-27,,,110000000.0,470490832.0
Ant-Man,117.0,PG-13,Action,2015-07-14,,,130000000.0,519311965.0
Home,94.0,PG,Animation,2015-03-18,,,135000000.0,368871007.0
The Revenant,156.0,R,Western,2015-12-25,,,135000000.0,532950503.0
Jurassic World,124.0,PG-13,Thriller,2015-06-09,,,150000000.0,1513528810.0
Mission: Impossible - Rogue Nation,131.0,PG-13,Action,2015-07-23,,,150000000.0,682330139.0
The Hunger Games: Mockingjay - Part 2,137.0,PG-13,Adventure,2015-11-18,,,160000000.0,653428261.0
Inside Out,94.0,PG,Animation,2015-06-09,,,175000000.0,857611174.0
Furious 7,137.0,PG-13,Action,2015-04-01,,,190000000.0,1506249360.0
Spectre,148.0,PG-13,Crime,2015-10-26,,,245000000.0,880674609.0
Star Wars: The Force Awakens,136.0,PG-13,Science Fiction,2015-12-15,,,245000000.0,2068223624.0
Avengers: Age of Ultron,141.0,PG-13,Action,2015-04-22,,,280000000.0,1405403694.0
Hidden Figures,127.0,PG,Drama,2016-12-10,,,25000000.0,230698791.0
La La Land,128.0,PG-13,Drama,2016-11-29,,,30000000.0,445435700.0
Deadpool,108.0,R,Comedy,2016-02-09,,,58000000.0,783112979.0
The Secret Life of Pets,87.0,PG,Animation,2016-06-18,,,75000000.0,875457937.0
Sing,108.0,PG,Animation,2016-11-23,,,75000000.0,632443719.0
Jason Bourne,123.0,PG-13,Action,2016-07-27,,,120000000.0,415484914.0
Trolls,92.0,PG,Animation,2016-10-13,,,125000000.0,346864462.0
Ghostbusters,116.0,PG-13,Thriller,2016-07-14,,,144000000.0,229147509.0
Zootopia,108.0,PG,Animation,2016-02-11,,,150000000.0,1023784195.0
Moana,107.0,PG,Animation,2016-11-23,,,150000000.0,643034466.0
Doctor Strange,115.0,PG-13,Action,2016-10-25,,,165000000.0,677718395.0
The Jungle Book,106.0,PG,Action,2016-04-07,,,175000000.0,966550600.0
Suicide Squad,123.0,PG-13,Action,2016-08-02,,,175000000.0,745600054.0
X-Men: Apocalypse,144.0,PG-13,Action,2016-05-18,,,178000000.0,543934787.0
Fantastic Beasts and Where to Find Them,133.0,PG-13,Fantasy,2016-11-16,,,180000000.0,809342332.0
Star Trek Beyond,122.0,PG-13,Science Fiction,2016-07-07,,,185000000.0,343471816.0
Finding Dory,97.0,PG,Animation,2016-06-16,,,200000000.0,1028570889.0
Rogue One: A Star Wars Story,133.0,PG-13,Science Fiction,2016-12-14,,,200000000.0,1056057273.0
Batman v Superman: Dawn of Justice,151.0,PG-13,Action,2016-03-23,,,250000000.0,873260194.0
Captain America: Civil War,147.0,PG-13,Action,2016-04-27,,,250000000.0,1153304495.0
Get Out,104.0,R,Horror,2017-02-24,,,5000000.0,252434250.0
It,135.0,R,Horror,2017-09-05,,,35000000.0,700400000.0
The LEGO Batman Movie,104.0,PG,Animation,2017-01-29,,,80000000.0,312000000.0
Despicable Me 3,96.0,PG,Animation,2017-06-15,,,80000000.0,1020063384.0
The Greatest Showman,105.0,PG,Drama,2017-12-08,,,84000000.0,435000000.0
Logan,137.0,R,Action,2017-02-28,,,97000000.0,616801808.0
Dunkirk,107.0,PG-13,War,2017-07-19,,,100000000.0,519876949.0
The Boss Baby,97.0,PG,Animation,2017-03-23,,,125000000.0,498814908.0
Wonder Woman,141.0,PG-13,Action,2017-05-30,,,149000000.0,820580447.0
Jumanji: Welcome to the Jungle,119.0,PG-13,Thriller,2017-12-05,,,150000000.0,962200000.0
Beauty and the Beast,129.0,PG,Drama,2017-03-16,,,160000000.0,1262886337.0
Spider-Man: Homecoming,133.0,PG-13,Action,2017-06-28,,,175000000.0,880200000.0
Coco,105.0,PG,Animation,2017-10-20,,,175000000.0,807100000.0
Thor: Ragnarok,130.0,PG-13,Action,2017-10-25,,,180000000.0,854000000.0
Kong: Skull Island,118.0,PG-13,Adventure,2017-03-08,,,185000000.0,566652812.0
