,id,spoken_languages
1712,146233,en
1713,2034,en
1714,2034,ru
1715,2034,es
1716,2034,ko
1717,926,en
1718,4248,en
1719,64328,en
1720,36647,ru
1721,36647,en
1722,7214,en
1723,1537,en
1724,9360,en
1725,6282,en
1726,508,en
1727,508,fr
1728,508,pt
1729,9487,en
1730,768,en
1731,768,hu
1732,768,ru
1733,2636,en
1734,10478,en
1735,27983,en
1736,9981,en
1737,9981,it
1738,7453,en
1739,15045,en
1740,7737,en
1741,232672,en
1742,17379,en
1743,17379,fr
1744,8987,en
1745,11359,en
1746,82525,en
1747,9759,en
1748,9486,ja
1749,9486,en
1750,9486,fr
1751,9906,en
1752,841,en
1753,841,it
1754,4688,en
1755,4148,en
1756,2207,en
1757,9381,en
1758,9381,ru
1759,9625,en
1760,9304,en
1761,20856,en
1762,5955,en
1763,9899,en
1764,9826,en
1765,21355,en
1766,21355,es
1767,10858,en
1768,11439,en
1769,9457,ko
1770,9457,en
1771,12412,de
1772,12412,it
1773,12412,en
1774,1494,zh
1775,13184,th
1776,13184,en
1777,2185,en
1778,6639,en
1779,38153,en
1780,38153,hu
1781,58233,de
1782,58233,cn
1783,58233,en
1784,58233,zh
1785,58233,ru
1786,116977,en
1787,68734,en
1788,68734,fa
1789,5503,en
1790,27573,en
1791,819,en
1792,1369,en
1793,1369,vi
1794,9623,en
1795,10895,en
1796,10935,en
1797,10935,fr
1798,10935,de
1799,10935,pl
1800,10935,ru
1801,834,en
1802,834,fr
1803,834,hu
1804,228066,en
1805,711,en
1806,10468,en
1807,10027,en
1808,10027,de
1809,10027,es
1810,11812,en
1811,37233,en
1812,37950,en
1813,27582,en
1814,64688,en
1815,509,en
1816,509,es
1817,7443,en
1818,5966,en
1819,11066,fr
1820,11066,en
1821,136795,en
1822,136795,es
1823,136795,bg
1824,8095,en
1825,8095,pt
1826,87826,en
1827,11560,en
1828,11560,es
1829,25189,en
1830,2637,en
1831,18480,cs
1832,18480,en
1833,18480,de
1834,709,en
1835,709,es
1836,49730,en
1837,2749,cs
1838,2749,en
1839,2749,el
1840,2749,ru
1841,9607,en
1842,1830,ar
1843,1830,de
1844,1830,en
1845,1830,fr
1846,1830,ru
1847,1830,es
1848,1830,uk
1849,1830,tr
1850,79,zh
